Word,label
عايزة,X
احط,X
عنوان,X
بيتي,X
ابغى,X
الفاتورة,X
من,X
فضلك,X
عايزة,X
اغير,X
عنوان,X
البيت,X
ممكن,X
اغير,X
عنواني,X
عايز,X
منيو,X
ارابياتا,X
جامعة,X
الدول,X
بدي,X
شوف,X
ايش,X
عندكن,X
من,X
البيتزا,MenuName
تابعلي,X
الاوردر,X
قوام,X
ممكن,X
احذف,X
العنوان,X
لو,X
سمحت,X
عايز,X
احدد,X
اللغة,X
الاسبانية,Language
عايز,X
احذف,X
عنواني,X
لو,X
سمحت,X
دحين,X
كيف,X
غير,X
رقم,X
الجوال,X
ممكن,X
اعدل,X
عنواني,X
عايز,X
احدث,X
البيانات,X
من,X
فضلك,X
وريني,X
المنيو,X
الرئيسي,X
ممكن,X
اشوف,X
اوردراتي,X
الي,X
قبل,X
كدا,X
فيك,X
تعرضلي,X
قائمة,X
الطعام,X
عطيني,X
الكارت,X
حقي,X
3,itemnumber
ماك,PredefinedMealName
دينار,PredefinedMealName
مع,X
سلطة,ItemName
تشيكن,ItemName
سيزر,ItemName
رقم,X
5,X
بدياك,X
تحضرلي,X
الفاتورة,X
اذا,X
بتريد,X
انا,X
عايز,X
الحجم,X
الكبير,ItemSize
ارغب,X
فى,X
واحد,itemnumber
كفته,ItemName
كبير,ItemSize
بدون,Exclude
طحينه,Topping_Exclude
اعرضلي,X
كدا,X
كل,X
الطلبات,X
اريد,X
الغاء,X
العنوان,X
ايه,X
الطوة,X
الي,X
جاية,X
ممكن,X
اغير,X
اللغة,X
اقدر,X
الغي,X
عنواني,X
سويلي,X
اوردر,X
بيتزا,X
سوبر,X
سوبريم,ItemName
ستافد,ItemName
كراست,ItemName
من,Exclude
غير,Exclude
بصل,Topping_Exclude
عايز,X
اشوف,X
حسابى,X
كام,X
دلوقتى,X
ابا,X
غير,X
رقم,X
الجوال,X
حجي,X
الاوردر,X
مجاش,X
لحد,X
دلوقتي,X
احتاج,X
الى,X
تبديل,X
لغة,X
التواصل,X
هلأ,X
بدي,X
احذف,X
العنوان,X
اذا,X
بتريد,X
ممكن,X
تضيفلي,X
الهابي,ItemName
ميل,ItemName
الله,X
يسلم,X
عليك,X
عايزة,X
اشوف,X
طلباتي,X
السابقة,X
عايز,X
منيو,X
الاطباق,X
الرئيسية,X
في,X
سبكترا,X
عايزة,X
قائمة,X
تغيير,X
البيانات,X
ابغا,X
اتنين,itemnumber
جلابينو,ItemName
ساندوتش,ItemName
كبير,ItemSize
عايزة,X
اغير,X
لغة,X
التواصل,X
الى,X
الانجليزية,Language
ابي,X
الغي,X
عنواني,X
القديم,X
راح,X
فرجيكن,X
